en,ru
Ever attended school,Когда-либо посещал школу
Primary school or higher,Начальная школа или выше
Secondary school or higher,Средняя школа или выше
Literacy,Грамотность
Water,Вода
Sanitation,Санитария
Family planning,Планирование семьи
Violence,Насилие
Computer,Компьютер
Internet,Интернет
Own mobile,Собственный мобильный телефон
Employment,Занятость
Youth idle,Неработающая молодежь
Manufacturing work,Производственные работы
Managerial work,Работа на руководящей должности
Informal work,Неформальная работа
Electricity,Электричество
Clean cooking fuel,Чистое топливо для приготовления пищи
Adequate housing,Адекватное жилище
Assets owned,Активы в собственности
Household mobile,Мобильный в домохозяйстве
Health insurance,Медицинская страховка
Social protection,Социальная защита
Food insecure,Отсутствие продовольственной безопасности
Experienced shock,Пережитый шок
Health expenditures,Расходы на здравоохранение
Multidimensional poverty,Многомерная бедность
"The proportion of adults with disabilities varies across countries, with the lowest at 5%, the highest at 33%, and the median at 14.2%. ","Доля взрослых с инвалидностью варьируется в зависимости от страны: самая низкая – 5%, самая высокая – 33%, а медианная – 14,2%."
"The proportion of households who have at least one adult with disabilities varies across countries with the lowest at 10.4%, the highest at 61.7%, and the median at 28.5%.","Доля домохозяйств, в которых есть хотя бы один взрослый с инвалидностью, варьируется в разных странах: самая низкая – 10,4%, самая высокая – 61,7%, а медианная – 28,5%."
"The proportion of adults who have ever been to school is lower among adults with disabilities, than among adults without disabilities.","Доля взрослых, которые когда-либо посещали школу, ниже среди взрослых с инвалидностью, чем среди взрослых без инвалидности."
"The proportion of adults who at least completed primary school is lower among adults with disabilities, than among adults without disabilities.","Доля взрослых, окончивших по крайней мере начальную школу, ниже среди взрослых с инвалидностью, чем среди взрослых без инвалидности."
"The proportion of adults who at least completed upper secondary school is lower among adults with disabilities, than among adults without disabilities.","Доля взрослых, имеющих как минимум полное среднее образование, ниже среди взрослых с инвалидностью, чем среди взрослых без инвалидности."
"The proportion of adults who can read and write in any language is lower among adults with disabilities, than among adults without disabilities.","Доля взрослых, умеющих читать и писать на любом языке, ниже среди взрослых с инвалидностью, чем среди взрослых без инвалидности."
"Across countries, the proportion of adults who live in households who have safely managed drinking water is similar, lower or higher for adults with disabilities, compared to adults without disabilities. There is no consistent pattern in the countries under study.","Во всех странах доля взрослых, проживающих в домохозяйствах, обеспеченных безопасной питьевой водой, среди взрослых с инвалидностью аналогична, ниже или выше, чем среди взрослых без инвалидности. В исследуемых странах не наблюдается какой-либо устойчивой тенденции."
"Across countries, the proportion of adults who live in households who have safely managed sanitation services is similar, lower or higher for adults with disabilities, compared to adults without disabilities. There is no consistent pattern in the countries under study.","Во всех странах доля взрослых, проживающих в домохозяйствах, которые имеют доступ к безопасным услугам в области санитарии, аналогична, ниже или выше для взрослых с инвалидностью по сравнению со взрослыми без инвалидности. В исследуемых странах не наблюдается какой-либо последовательной закономерности."
"Across countries, the proportion of women who report that they have their family planning needs met. In other words, women who want and have access to modern contraceptive methods, is similar, lower or higher for women with disabilities, compared to women without disabilities. There is no consistent pattern in the countries under study.","В разных странах доля женщин, сообщающих о том, что их потребности в области планирования семьи удовлетворены. Другими словами, женщины, которые хотят и имеют доступ к современным методам контрацепции, аналогично, ниже или выше у женщин с инвалидностью, по сравнению с женщинами без инвалидности. В исследуемых странах не наблюдается устойчивой закономерности."
"In most of the countries under study, the proportion of women who report being subject to domestic violence by their intimate partner in the past 12 months is higher among women with disabilities, than among women without disabilities.","В большинстве исследуемых стран доля женщин, сообщивших о том, что они подвергались домашнему насилию со стороны своего интимного партнера в течение последних 12 месяцев, выше среди женщин с инвалидностью, чем среди женщин без инвалидности."
"The proportion of adults who have or use a computer is lower among adults with disabilities, than among adults without disabilities.","Доля взрослых, имеющих или использующих компьютер, ниже среди взрослых с инвалидностью, чем среди взрослых без инвалидности."
"In most countries, the proportion of adults who have or use the internet is lower among adults with disabilities, than among adults without disabilities.  ","В большинстве стран доля взрослых, имеющих доступ к интернету или пользующихся им, ниже среди взрослых с инвалидностью, чем среди взрослых без инвалидности."
"In most countries, the proportion of adults who have their own mobile phone is lower among adults with disabilities, than among adults without disabilities.","В большинстве стран доля взрослых, имеющих собственный мобильный телефон, среди взрослых с инвалидностью ниже, чем среди взрослых без инвалидности."
"In most countries, the proportion of the adult population who work for pay, profit (self-employed) or for a family business/farm (whether paid or unpaid) is lower among persons with disabilities, than among persons without disabilities.","В большинстве стран доля взрослого населения, работающего за плату, прибыль (самозанятые) или на семейный бизнес/ферму (оплачиваемую или неоплачиваемую), среди людей с инвалидностью ниже, чем среди людей без инвалидности."
"In most countries, the proportion of youth who are not enrolled in school and not employed is higher among youths with disabilities, than among youths without disabilities.","В большинстве стран доля молодых людей, не посещающих школу и не работающих, выше среди молодых людей с инвалидностью, чем среди молодых людей без инвалидности."
"Across countries, the proportion of workers who work in the manufacturing sector is similar. Lower or higher for adults with disabilities, compared to adults without disabilities. There is no consistent pattern in the countries under study.","В разных странах доля работников, занятых в производственном секторе, одинакова. Ниже или выше для взрослых с инвалидностью, по сравнению со взрослыми без инвалидности. В исследуемых странах не наблюдается устойчивой закономерности."
"In most countries, the proportion of women workers who have managerial positions is lower among women with disabilities, compared to women without disabilities.","В большинстве стран доля работающих женщин, занимающих руководящие должности, ниже среди женщин с инвалидностью по сравнению с женщинами без инвалидности."
"Workers who do informal work, are ones who are self-employed, work for small firm or a firm that is unregistered, or have no written contract with their employers or work without pay. In most countries, the proportion of these workers is higher among workers with disabilities, than among workers without disabilities.","Работники, которые работают в неформальном секторе, являются самозанятыми, работают в небольших фирмах или фирмах, которые не зарегистрированы, или не имеют письменного договора со своими работодателями или работают без оплаты. В большинстве стран доля этих работников выше среди работников с инвалидностью, чем среди работников без инвалидности."
"In most countries, the proportion of adults who live in households with access to electricity is lower among persons with disabilities compared to persons without disabilities.","В большинстве стран доля взрослых, живущих в домохозяйствах, имеющих доступ к электричеству, ниже среди людей с инвалидностью по сравнению с лицами без инвалидности."
"In most countries, the proportion of adults who live in households who use clean cooking fuel is lower among persons with disabilities compared to persons without disabilities.","В большинстве стран доля взрослых, живущих в домохозяйствах, использующих чистое топливо для приготовления пищи, ниже среди людей с инвалидностью по сравнению с лицами без инвалидности."
"In most countries, the proportion of adults who live in households with quality floor, roof and wall materials is lower among persons with disabilities compared to persons without disabilities.","В большинстве стран доля взрослых, живущих в домохозяйствах с качественными материалами для пола, крыши и стен, ниже среди людей с инвалидностью по сравнению с лицами без инвалидности."
"In most countries, the proportion of assets owned by an adult's household is lower among persons with disabilities compared to persons without disabilities.","В большинстве стран доля активов, принадлежащих взрослому домохозяйству, ниже среди людей с инвалидностью по сравнению с лицами без инвалидности."
"In most countries, the proportion of adults who live in households with a mobile phone is lower among persons with disabilities compared to persons without disabilities.","В большинстве стран доля взрослых, живущих в домохозяйствах с мобильными телефонами, ниже среди людей с инвалидностью по сравнению с лицами без инвалидности."
"In most countries, the proportion of adults who live in households with health insurance is higher among persons with disabilities compared to persons without disabilities.","В большинстве стран доля взрослых, проживающих в домохозяйствах с медицинской страховкой, выше среди людей с инвалидностью по сравнению с лицами без инвалидности."
"In most countries, the proportion of adults who live in households who receive social protection benefits is higher among persons with disabilities compared to persons without disabilities.","В большинстве стран доля взрослых, проживающих в домохозяйствах и получающих пособия по социальной защите, выше среди людей с инвалидностью по сравнению с лицами без инвалидности."
The proportion of adults who live in food insecure households is higher among persons with disabilities than among persons without disabilities.,"Доля взрослых, живущих в домохозяйствах с нехваткой продовольствия, выше среди людей с инвалидностью, чем среди людей без инвалидности."
The proportion of adults who live in households that were recently exposed to at least one negative shock such as a flood or the loss of a job is higher among persons with disabilities than among persons without disabilities.,"Доля взрослых, проживающих в домохозяйствах, которые недавно подверглись по крайней мере одному негативному потрясению, такому как наводнение или потеря работы, выше среди людей с инвалидностью, чем среди людей без инвалидности."
"In most countries, the proportion of a household’s total consumption expenditures that are dedicated to health is higher among persons with disabilities than among persons without disabilities.","В большинстве стран доля общих потребительских расходов домохозяйства, предназначенных для здравоохранения, выше среди людей с инвалидностью, чем среди людей без инвалидности."
The proportion of adults who experience multidimensional poverty is higher among persons with disabilities than among persons without disabilities.,"Доля взрослых, живущих в условиях многомерной нищеты, выше среди людей с инвалидностью, чем среди людей без инвалидности."
"Proportion of adults ages 15 and older with disabilities. The proportion is available for adults with any disability (adults with disability), by disability type, and by degree (moderate and severe disability). ","Доля взрослых в возрасте 15 лет и старше с инвалидностью. Доля доступна для взрослых с любой инвалидностью (взрослые с инвалидностью), по типу инвалидности и по степени (инвалидность умеренной и тяжелой степени). "
"Proportion of households who have at least one adult aged 15 and older with disabilities. The proportion is available for households with adults with any disability (adults with disability), and by degree (moderate and severe disability). ","Доля домохозяйств, в которых проживает хотя бы один взрослый в возрасте 15 лет и старше с инвалидностью. Данная доля приводится для домохозяйств, в которых проживают взрослые с любой инвалидностью (взрослые с инвалидностью), а также в разбивке по степени инвалидности (инвалидность умеренной и тяжелой степени). "
Proportion of adults ages 15 and older who have ever been to school.,"Доля взрослых в возрасте 15 лет и старше, которые когда-либо посещали школу."
Proportion of adults ages 25 and older who at least completed primary school. ,"Доля взрослых в возрасте 25 лет и старше, окончивших по крайней мере начальную школу."
"Proportion of adults ages 25 and older who completed upper secondary school, whether or not they also attended tertiary school","Доля взрослых в возрасте 25 лет и старше, окончивших старшие классы средней школы, независимо от того, посещали ли они высшее учебное заведение или нет"
Proportion of adults 15 and older who can read and write in at least one language.,"Доля взрослых в возрасте 15 лет и старше, которые умеют читать и писать хотя бы на одном языке."
Proportion of adults ages 15 and older who live in households that have safely managed drinking water.,"Доля взрослых в возрасте 15 лет и старше, проживающих в домохозяйствах, где обеспечено безопасное водоснабжение."
Proportion of adults ages 15 and older who live in households that have safely managed sanitation services.,"Доля взрослых в возрасте 15 лет и старше, проживающих в домохозяйствах, которые имеют доступ к безопасным санитарным услугам."
Proportion of women who report that they have their family planning needs met; they want and have access to modern contraceptive methods.,"Доля женщин, которые сообщают, что их потребности в области планирования семьи удовлетворены; они хотят и имеют доступ к современным методам контрацепции."
"Proportion of women who report being subject to domestic violence by their intimate partner in the past 12 months. Domestic violence may be physical, psychological or sexual.","Доля женщин, которые сообщают о том, что подвергались домашнему насилию со стороны своего интимного партнера в течение последних 12 месяцев. Домашнее насилие может быть физическим, психологическим или сексуальным."
Proportion of adults ages 15 and older who have or use a computer.  ,"Доля взрослых в возрасте 15 лет и старше, имеющих или использующих компьютер."
Proportion of adults ages 15 and older who have or use the internet.  ,"Доля взрослых в возрасте 15 лет и старше, которые имеют доступ к Интернету или пользуются им.  "
Proportion of adults ages 15 and older who have their own mobile phone.,"Доля взрослых в возрасте 15 лет и старше, имеющих собственный мобильный телефон."
"Proportion of the adult population ages 15 and older who work for pay, profit (self-employed) or for a family business or  farm (whether paid or unpaid). ","Доля взрослого населения в возрасте 15 лет и старше, которые работают за плату, прибыль (самозанятые) или на семейном предприятии или ферме (оплачиваемые или неоплачиваемые)."
Proportion of youth ages 15 to 24 who are not enrolled in school and not employed.,"Доля молодежи в возрасте от 15 до 24 лет, которые не учатся в школе и не работают."
Proportion of workers ages 15 and older who work in the manufacturing sector.,"Доля работников в возрасте 15 лет и старше, занятых в производственном секторе."
Proportion of women workers who have managerial positions.,"Доля работающих женщин, занимающих руководящие должности."
"Proportion of workers ages 15 and older who do informal work. They could be self-employed, work for a microenterprise of five or fewer employees or in a firm that is unregistered, or have no written contract with their employers. Family workers without pay are included as informal workers.","Доля работников в возрасте 15 лет и старше, занятых в неформальном секторе. Они могут быть самозанятыми, работать на микропредприятии с пятью или менее сотрудниками или в фирме, которая не зарегистрирована, или не иметь письменного договора со своим работодателем. Семейные работники без оплаты труда включены в неформальный сектор."
Proportion of adults ages 15 and older who live in households with access to electricity.,"Доля взрослых в возрасте 15 лет и старше, проживающих в домохозяйствах с доступом к электричеству."
Proportion of adults ages 15 and older who live in households who use clean cooking fuel.,"Доля взрослых в возрасте 15 лет и старше, проживающих в домохозяйствах, использующих экологически чистое топливо для приготовления пищи."
"Proportion of adults ages 15 and older who live in households with quality floor, roof and wall materials.","Доля взрослых в возрасте 15 лет и старше, проживающих в домохозяйствах с качественными материалами для пола, крыши и стен."
"Proportion of assets owned by an adult's household among the following assets:  a radio, TV, telephone, mobile phone, bike, motorbike, refrigerator, car (or truck) and computer.","Доля имущества, принадлежащего домохозяйству взрослого человека, среди следующих видов имущества:  радио, телевизор, телефон, мобильный телефон, велосипед, мотоцикл, холодильник, автомобиль (или грузовик) и компьютер."
Proportion of adults ages 15 and older who live in households with a mobile phone.,"Доля взрослых в возрасте 15 лет и старше, проживающих в домохозяйствах с мобильным телефоном."
Proportion of adults ages 15 and older who live in households with health insurance.,"Доля взрослых в возрасте 15 лет и старше, проживающих в домохозяйствах с медицинской страховкой."
"Proportion of adults ages 15 and older who live in households who received social protection benefits in the past year or who currently receive them (e.g. cash benefits, in kind transfers). Benefits may be from Government or Non-Government institutions.","Доля взрослых в возрасте 15 лет и старше, проживающих в домохозяйствах, которые в течение последнего года получали социальные пособия или получают их в настоящее время (например, денежные пособия, передача натуральных благ). Пособия могут предоставляться государственными или негосударственными учреждениями."
"Proportion of adults ages 15 and older who live in households  that recently (in the past week, month or 12 months) did not have access to adequate food. ","Доля взрослых в возрасте 15 лет и старше, которые живут в домохозяйствах, которые недавно (в течение последней недели, месяца или 12 месяцев) не имели доступа к достаточному питанию."
"Proportion of adults ages 15 and older who live in households that were recently exposed to at least one negative shock. The time frame is usually the past 12 months and shocks include:
- shocks related to the weather (drought, flood, heavy rains), 
- negative events affecting household members (death of a household member, illness of a household member),
- economic hardships (loss of a job, crop damage) and
- disasters (e.g. fire, landslide).","Доля взрослых в возрасте 15 лет и старше, проживающих в домохозяйствах, которые недавно подверглись по крайней мере одному негативному потрясению. Период времени обычно составляет последние 12 месяцев, а потрясения включают:
- потрясения, связанные с погодными условиями (засуха, наводнение, проливные дожди),
- негативные события, затронувшие членов домохозяйства (смерть члена домохозяйства, болезнь члена домохозяйства),
- экономические трудности (потеря работы, ущерб урожаю) и
- стихийные бедствия (например, пожар, оползень)."
"Proportion of a household’s total consumption expenditures that are dedicated to health (inpatient care and outpatient care out of pocket expenditures, medicines).","Доля общих потребительских расходов домохозяйства, которые направляются на здравоохранение (стационарное лечение и амбулаторное лечение из собственных средств, лекарства)."
Proportion of adults ages 15 and older who experience more than one deprivation such as not working.,"Доля взрослых в возрасте 15 лет и старше, которые испытывают более одного лишения, например, не работают."
All adults (ages 15 and older),Все взрослые (в возрасте от 15 лет и старше)
Women,Женщины
Men,Мужчины
Rural residents,Сельские жители
Urban residents,Городские жители
Adults ages 15 to 29,Взрослые в возрасте от 15 до 29 лет
Adults ages 30 to 44,Взрослые в возрасте от 30 до 44 лет
Adults ages 45 to 64,Взрослые в возрасте от 45 до 64 лет
Adults ages 65 and older,Взрослые в возрасте 65 лет и старше
Adults ages 25 to 29,Взрослые в возрасте от 25 до 29 лет
No disability,Без инвалидности
Moderate disability,Инвалидность средней степени тяжести
No and moderate disability,Без инвалидности и с инвалидностью средней степени
Severe disability,Тяжелая инвалидность
Disability,Инвалидность
Seeing disability,Инвалидность по зрению
Hearing disability,Инвалидность по слуху
Mobility disability,"Инвалидность, связанная с ограниченной подвижностью"
Self-care disability,"Инвалидность, связанная с неспособностью ухаживать за собой"
Cognition disability,Нарушение когнитивных способностей
Communication disability,Нарушение коммуникации
National,Национальный
Subnational division 1,Субнациональный уровень 1
Subnational division 2,Субнациональный уровень 2
Alternative subnational division,Альтернативное субнациональное деление
Disability versus no disability,Инвалидность в сравнении с отсутствием инвалидности
Severe versus moderate versus no disability,Тяжелая степень инвалидности по сравнению с умеренной степенью инвалидности по сравнению с отсутствием инвалидности
Severe versus moderate or no disability,Тяжелая степень инвалидности по сравнению с умеренной или отсутствием инвалидности
Disability by type,Инвалидность по типам
Level,Уровень
ISO Code,Код ISO
Afghanistan,Афганистан
Bangladesh,Бангладеш
Cambodia,Камбоджа
Djibouti,Джибути
Ethiopia,Эфиопия
Gambia,Гамбия
Ghana,Гана
Guatemala,Гватемала
Haiti,Гаити
Kenya,Кения
Kiribati,Кирибати
Liberia,Либерия
Malawi,Малави
Maldives,Мальдивы
Mali,Мали
Mauritania,Мавритания
Mauritius,Маврикий
Mexico,Мексика
Mongolia,Монголия
Morocco,Марокко
Myanmar,Мьянма
Namibia,Намибия
Nepal,Непал
Nigeria,Нигерия
Pakistan,Пакистан
Palestine,Палестина
Philippines,Филиппины
Rwanda,Руанда
Senegal,Сенегал
South Africa,Южная Африка
Suriname,Суринам
Tajikistan,Таджикистан
Tanzania,Танзания
Timor-Leste,Тимор-Лешти
Tonga,Тонга
Uganda,Уганда
Uruguay,Уругвай
Vanuatu,Вануату
Vietnam,Вьетнам
Zimbabwe,Зимбабве
South Asia,Южная Азия
East Asia & Pacific,Восточная Азия и Тихоокеанский регион
Middle East & North Africa,Ближний Восток и Северная Африка
Sub-Saharan Africa,Африка к югу от Сахары
Latin America & Caribbean,Латинская Америка и Карибский бассейн
North America,Северная Америка
Europe & Central Asia,Европа и Центральная Азия
countries,Страны
Data source(s): See table for source list,Источник(и) данных: Список источников см. в таблице
Data source:,Источник данных
Afghanistan LCS 2016,Афганистан LCS 2016
Bangladesh HIES 2016,Бангладеш HIES 2016
Cambodia DHS 2014,DHS в Камбодже 2014
Cambodia DHS 2021-2022,DHS Камбоджа 2021-2022
Cambodia IPUMS 2019,Камбоджа IPUMS 2019
Djibouti EDAM 2017,Джибути ЭДАМ 2017
Ethiopia LSMS 2018,Эфиопия LSMS 2018
Gambia LFS 2018,Гамбия LFS 2018
Ghana Census 2021,Перепись населения Ганы 2021 года
Guatemala Census 2018,Перепись населения Гватемалы 2018 года
Haiti DHS 2016-2017,DHS Гаити 2016-2017
Kenya Census 2019,Перепись населения Кении 2019 года
Kenya DHS 2022,DHS в Кении 2022
Kiribati Census 2015,Перепись населения Кирибати 2015 года
Kiribati Census 2020,Перепись населения Кирибати 2020 года
Liberia HIES 2016,Либерия HIES 2016
Malawi LSMS 2019,Малави LSMS 2019
Maldives DHS 2009,DHS на Мальдивах 2009
Mali DHS 2018,ДМО Мали 2018
Mauritania DHS 2019-2021,DHS Мавритании 2019-2021
Mauritius IPUMS 2011,Маврикий IPUMS 2011
Mexico Census 2020,Перепись населения Мексики 2020 года
Mongolia Census 2020,Перепись населения Монголии 2020 года
Mongolia LFS 2022,Монголия LFS 2022
Morocco IPUMS 2014,Марокко IPUMS 2014
Myanmar IPUMS 2014,IPUMS в Мьянме 2014
Namibia HIES 2015,Намибия HIES 2015
Nepal DHS 2022,DHS в Непале 2022
Nigeria DHS 2018,DHS Нигерии 2018
Nigeria LSMS 2018,Нигерия LSMS 2018
Pakistan DHS 2017-2018,DHS Пакистана 2017-2018 гг.
Palestine HIES 2009,Палестина HIES 2009
Philippines Census 2020,Перепись населения Филиппин 2020 года
Rwanda DHS 2019-2020,DHS Руанды 2019-2020
Rwanda LFS 2018,Руанда LFS 2018
Senegal DHS 2018,Сенегал DHS 2018
Senegal IPUMS 2013,Сенегал IPUMS 2013
South Africa DHS 2016,DHS ЮАР 2016
South Africa IPUMS 2011,Южно-Африканский IPUMS 2011
South Africa IPUMS 2016,IPUMS в Южной Африке 2016
Suriname IPUMS 2012,Суринамский IPUMS 2012
Tajikistan WASH 2016,Таджикистан WASH 2016
Tanzania DHS 2022,DHS Танзания 2022
Tanzania IPUMS 2012,Танзания IPUMS 2012
Timor-Leste DHS 2016,Тимор-Лешти DHS 2016
Tonga Census 2016,Перепись населения Тонга 2016 года
Uganda DHS 2016,DHS в Уганде 2016
Uganda IPUMS 2014,IPUMS в Уганде 2014
Uruguay IPUMS 2011,Уругвай IPUMS 2011
Vanuatu Census 2009,Перепись населения Вануату 2009 года
Vietnam IPUMS 2009,IPUMS во Вьетнаме 2009
Vietnam IPUMS 2019,IPUMS во Вьетнаме 2019
Zimbabwe PICS 2017,ПИКС в Зимбабве 2017
